task,seed,city,N,model,R2,RMSE,MAE
CityLens Healthcare overlap,43,London,198,Exact,0.09005947065975106,0.9919447063039075,0.7560671073759128
CityLens Healthcare overlap,43,London,198,Within-city Global,0.09223247227836595,0.9907595816768798,0.7444619738430961
CityLens Healthcare overlap,43,London,198,Satellite,-0.004735794919032532,1.0423339821645816,0.7844157049120147
CityLens Healthcare overlap,43,Moscow,206,Minimum-cost Intermediate,0.14247300107447158,1.0564299315704861,0.8919018148906217
CityLens Healthcare overlap,43,Moscow,206,Parameter-matched,-0.014047744271278972,1.1488041555168695,0.9495916478718615
CityLens Healthcare overlap,43,Moscow,206,Exact,0.14349335868498658,1.0558012299857553,0.9028832876078418
CityLens Healthcare overlap,43,Moscow,206,Within-city Global,0.12360139314598317,1.0679911046881585,0.9031193167638747
CityLens Healthcare overlap,43,Moscow,206,Satellite,0.00894807470492398,1.1357035962088031,0.9501908738077283
CityLens Healthcare overlap,43,Mumbai,108,Minimum-cost Intermediate,0.08231642281327589,1.2222051051751395,0.996903924063881
CityLens Healthcare overlap,43,Mumbai,108,Parameter-matched,-0.06787511349776754,1.3184323370454218,1.090083724200117
CityLens Healthcare overlap,43,Mumbai,108,Exact,0.12808752433089898,1.191335434708392,0.9787641037651112
CityLens Healthcare overlap,43,Mumbai,108,Within-city Global,0.10390807496397514,1.2077412382203478,1.0026320980473553
CityLens Healthcare overlap,43,Mumbai,108,Satellite,-0.06798478079663273,1.3185000346625404,1.089195867691963
CityLens Healthcare overlap,43,Nairobi,119,Minimum-cost Intermediate,0.14000494468330837,1.1549908312266104,0.9539471402949007
CityLens Healthcare overlap,43,Nairobi,119,Parameter-matched,0.15322225426936298,1.1460809067428965,0.9206667930594208
CityLens Healthcare overlap,43,Nairobi,119,Exact,0.1382373563269822,1.1561771754889227,0.9237249248652972
CityLens Healthcare overlap,43,Nairobi,119,Within-city Global,0.0870598507994984,1.1900130197561605,0.974760424839248
CityLens Healthcare overlap,43,Nairobi,119,Satellite,0.19195405002755028,1.1195631321705999,0.8960516568629299
CityLens Healthcare overlap,43,NewYork,213,Minimum-cost Intermediate,0.16236920412166278,1.0777257557139184,0.8976247535888475
CityLens Healthcare overlap,43,NewYork,213,Parameter-matched,0.15588419892654526,1.081889631858007,0.8913826485230159
CityLens Healthcare overlap,43,NewYork,213,Exact,0.14891419258335525,1.0863471216696752,0.9065586547313428
CityLens Healthcare overlap,43,NewYork,213,Within-city Global,0.08501324481892836,1.1263914560940447,0.980344997728133
CityLens Healthcare overlap,43,NewYork,213,Satellite,0.11268555369060951,1.109227734744642,0.9084321956258625
CityLens Healthcare overlap,43,Paris,124,Minimum-cost Intermediate,0.09827894860711994,1.0320362200433315,0.9014825094023956
CityLens Healthcare overlap,43,Paris,124,Parameter-matched,0.03832581982406591,1.0657928760506368,0.899069414443045
CityLens Healthcare overlap,43,Paris,124,Exact,0.057596613855065204,1.055060232904206,0.9151807155190451
CityLens Healthcare overlap,43,Paris,124,Within-city Global,0.03480851210410585,1.0677401572193055,0.9255155071964645
CityLens Healthcare overlap,43,Paris,124,Satellite,0.041285566937504514,1.0641515154258545,0.8788451763884573
CityLens Healthcare overlap,43,SanFrancisco,167,Minimum-cost Intermediate,0.28026446456605514,1.0750905965582511,0.8277898011021312
CityLens Healthcare overlap,43,SanFrancisco,167,Parameter-matched,0.28567243630227057,1.0710439558378855,0.8449093556173629
CityLens Healthcare overlap,43,SanFrancisco,167,Exact,0.21522414785540045,1.1226164610534246,0.8610764402718236
CityLens Healthcare overlap,43,SanFrancisco,167,Within-city Global,0.25490983152575375,1.0938631872931222,0.8824952453786511
CityLens Healthcare overlap,43,SanFrancisco,167,Satellite,0.2551423793550047,1.0936924728134148,0.8738823184130657
CityLens Healthcare overlap,43,SaoPaulo,280,Minimum-cost Intermediate,0.16931827240235575,1.0631566886195438,0.8496734485956322
CityLens Healthcare overlap,43,SaoPaulo,280,Parameter-matched,0.14801459437509823,1.0767032520643363,0.8459064747499981
CityLens Healthcare overlap,43,SaoPaulo,280,Exact,0.1509344668185295,1.0748566627030913,0.8514347209696753
CityLens Healthcare overlap,43,SaoPaulo,280,Within-city Global,0.1864758408171614,1.0521197532138262,0.8346191224452377
CityLens Healthcare overlap,43,SaoPaulo,280,Satellite,0.10158020536414392,1.1056549207526554,0.8750485511461863
CityLens Healthcare overlap,43,Shanghai,19,Minimum-cost Intermediate,-0.23033263124154213,1.3985191558053247,1.2659781016676057
CityLens Healthcare overlap,43,Shanghai,19,Parameter-matched,-0.25605354272268466,1.413062022509903,1.23189599390032
CityLens Healthcare overlap,43,Shanghai,19,Exact,-0.2628505533491645,1.4168801873851804,1.3093657344734129
CityLens Healthcare overlap,43,Shanghai,19,Within-city Global,-0.2047633963721378,1.3839105818914874,1.294532184999729
CityLens Healthcare overlap,43,Shanghai,19,Satellite,-0.16019510587760788,1.3580715852010703,1.2331274781108466
CityLens Healthcare overlap,43,Sydney,208,Minimum-cost Intermediate,0.17200452349303053,1.03996718691199,0.7449448560277804
CityLens Healthcare overlap,43,Sydney,208,Parameter-matched,0.1648267955551691,1.044465094327179,0.7884314566107982
CityLens Healthcare overlap,43,Sydney,208,Exact,0.1678125292000172,1.0425964479827923,0.7441718774789798
CityLens Healthcare overlap,43,Sydney,208,Within-city Global,0.1154748863061752,1.0748818721275926,0.7750709355784073
CityLens Healthcare overlap,43,Sydney,208,Satellite,0.1782942172803026,1.0360097108616375,0.78141579486046
CityLens Healthcare overlap,43,Tokyo,281,Minimum-cost Intermediate,0.07911668190382459,1.1025656561157575,0.950507346940766
CityLens Healthcare overlap,43,Tokyo,281,Parameter-matched,0.05688804153297544,1.1157933877796633,0.9301017385831248
CityLens Healthcare overlap,43,Tokyo,281,Exact,0.09172696741125952,1.0949905408636633,0.9376491933668359
CityLens Healthcare overlap,43,Tokyo,281,Within-city Global,0.08578897146107844,1.0985640571335513,0.9467792340508375
CityLens Healthcare overlap,43,Tokyo,281,Satellite,0.08674688385262086,1.0979883673350073,0.9396432455801086
CityLens Healthcare overlap,44,Beijing,29,Minimum-cost Intermediate,-0.1072387623579023,1.2056953392038874,0.9371955780862696
CityLens Healthcare overlap,44,Beijing,29,Parameter-matched,-0.21052870666533186,1.2606789109950218,1.0316609802154255
CityLens Healthcare overlap,44,Beijing,29,Exact,-0.1579279801451272,1.232984779889227,0.9725263975951466
